iter	MultiClass
0	1.430113413
1	1.310134111
2	1.221520284
3	1.154251016
4	1.101464564
5	1.054685966
6	1.01779133
7	0.9840374504
8	0.9537135523
9	0.9292659053
10	0.90709095
11	0.8893288443
12	0.8733171413
13	0.8587103606
14	0.8455455307
15	0.8329333982
16	0.8229726294
17	0.8137689895
18	0.8049110704
19	0.798694006
20	0.7916983798
21	0.7856618894
22	0.7792097278
23	0.7726438653
24	0.7678638672
25	0.763963444
26	0.7603702024
27	0.7578022796
28	0.755317962
29	0.753774066
30	0.7508891891
31	0.7485131345
32	0.7467260967
33	0.7431235728
34	0.7401575395
35	0.737705689
36	0.7354456543
37	0.7340880468
38	0.7312729553
39	0.7300962057
40	0.72836533
41	0.7272229956
42	0.7255699787
43	0.724793379
44	0.7229669684
45	0.7218617202
46	0.7212511909
47	0.7210832031
48	0.7202968912
49	0.7200336474
50	0.7198147923
51	0.7195597862
52	0.7186532595
53	0.7183218547
54	0.7179197111
55	0.7164823515
56	0.7162641799
57	0.7160912861
58	0.7158713762
59	0.7154904402
60	0.7154523387
61	0.7137956247
62	0.7131667886
63	0.7128771743
64	0.7122730104
65	0.7117933853
66	0.7117826176
67	0.7116882817
68	0.7116760842
69	0.7109479742
70	0.7109392277
71	0.7109263619
72	0.7108383071
73	0.710825803
74	0.7108141625
75	0.7104955721
76	0.7101596343
77	0.7101519081
78	0.7099078566
79	0.7098719841
80	0.7096026877
81	0.7093722521
82	0.7093590731
83	0.709346621
84	0.7083409357
85	0.7083318082
86	0.7082391535
87	0.708146187
88	0.70813208
89	0.7080880137
90	0.7080794675
91	0.7078114268
92	0.7076471421
93	0.7074737974
94	0.7073828788
95	0.7070865167
96	0.7070649201
97	0.7070565377
98	0.706138175
99	0.7061269684
100	0.7061183692
101	0.7061071423
102	0.7060962929
103	0.70607951
104	0.7060661263
105	0.7060140461
106	0.7060018032
107	0.7056857112
108	0.7053563303
109	0.7052565364
110	0.7052448402
111	0.7052311828
112	0.7050049747
113	0.7049939531
114	0.7049829351
115	0.7042794142
116	0.7042066339
117	0.7041340172
118	0.7041208066
119	0.7041082497
120	0.7040968867
121	0.7040844558
122	0.7040612496
123	0.703997151
124	0.7039657489
125	0.7022636262
126	0.7022506047
127	0.7019423247
128	0.7019285092
129	0.7019178922
130	0.7019068278
131	0.7018936192
132	0.7018066377
133	0.7017946425
134	0.7017806128
135	0.7017670007
136	0.7017536379
137	0.7017358237
138	0.7017229518
139	0.7017111281
140	0.7016990186
141	0.7016031901
142	0.7015921933
143	0.7015783205
144	0.7015326143
145	0.7015210235
146	0.7015083325
147	0.7014975872
148	0.7014862724
149	0.7014746172
150	0.7014610194
151	0.7014492135
152	0.7013873189
153	0.7013192798
154	0.7013056145
155	0.7012938163
156	0.7012745624
157	0.7012635914
158	0.7012527275
159	0.7012400378
160	0.7012251901
161	0.7012141687
162	0.7012022735
163	0.7011899419
164	0.7011588088
165	0.7011466261
166	0.7011358692
167	0.7011238015
168	0.7011126374
169	0.7011002153
170	0.7010865878
171	0.7010713746
172	0.7010578543
173	0.7010453157
174	0.7010318438
175	0.7009877357
176	0.7009752667
177	0.7009631498
178	0.7009492642
179	0.7009358168
180	0.7009233336
181	0.7009106218
182	0.7008977911
183	0.7008862538
184	0.7008737343
185	0.700862421
186	0.7008458942
187	0.7008341984
188	0.7008221875
189	0.7008100364
190	0.7007988074
191	0.7007865499
192	0.7007746489
193	0.7007613184
194	0.7005091357
195	0.7004832572
196	0.7004704433
197	0.7003936001
198	0.7003773029
199	0.7003634433
200	0.7003512472
201	0.7003401418
202	0.7003265291
203	0.7003142067
204	0.7002984843
205	0.700285261
206	0.7002748933
207	0.7002595818
208	0.7002463902
209	0.7002332347
210	0.7002205238
211	0.7002013643
212	0.7001904729
213	0.7001660681
214	0.700128331
215	0.7001150525
216	0.7001029962
217	0.7000906473
218	0.7000784113
219	0.7000681521
220	0.7000558495
221	0.700043904
222	0.7000263174
223	0.7000140179
224	0.6999631054
225	0.6999509319
226	0.6999402159
227	0.6999274055
228	0.699907371
229	0.6998959633
230	0.6998823568
231	0.6998709073
232	0.6998583835
233	0.699837782
234	0.6998250275
235	0.6998123805
