iter	Passed	Remaining
0	24	24263
1	43	21657
2	77	25643
3	133	33129
4	151	30120
5	171	28364
6	189	26914
7	208	25907
8	228	25182
9	249	24686
10	268	24181
11	288	23748
12	309	23462
13	329	23223
14	349	22936
15	369	22714
16	389	22511
17	408	22285
18	427	22077
19	446	21856
20	465	21693
21	484	21527
22	502	21360
23	521	21200
24	541	21118
25	559	20966
26	579	20869
27	598	20782
28	617	20669
29	635	20534
30	655	20496
31	674	20410
32	694	20360
33	715	20325
34	736	20300
35	755	20243
36	776	20212
37	796	20164
38	816	20124
39	836	20078
40	856	20032
41	875	19968
42	896	19944
43	914	19867
44	933	19820
45	957	19853
46	977	19828
47	997	19788
48	1016	19737
49	1036	19689
50	1055	19640
51	1073	19576
52	1095	19567
53	1115	19534
54	1132	19465
55	1155	19475
56	1176	19469
57	1197	19445
58	1215	19388
59	1234	19346
60	1253	19300
61	1275	19302
62	1295	19265
63	1314	19227
64	1333	19177
65	1351	19125
66	1370	19080
67	1389	19042
68	1409	19011
69	1427	18970
70	1446	18925
71	1463	18869
72	1482	18827
73	1501	18793
74	1518	18730
75	1537	18687
76	1555	18647
77	1573	18596
78	1592	18570
79	1611	18535
80	1629	18488
81	1648	18452
82	1666	18406
83	1683	18360
84	1703	18342
85	1723	18312
86	1741	18270
87	1759	18235
88	1778	18200
89	1796	18166
90	1815	18139
91	1835	18112
92	1854	18089
93	1874	18064
94	1893	18033
95	1911	17999
96	1928	17957
97	1946	17918
98	1965	17888
99	1985	17868
100	2005	17852
101	2024	17827
102	2043	17793
103	2061	17761
104	2079	17728
105	2098	17700
106	2115	17658
107	2135	17637
108	2153	17600
109	2171	17570
110	2189	17538
111	2207	17503
112	2227	17481
113	2245	17450
114	2263	17417
115	2281	17387
116	2300	17361
117	2319	17333
118	2337	17304
119	2355	17272
120	2373	17243
121	2392	17216
122	2410	17187
123	2430	17167
124	2448	17136
125	2468	17124
126	2485	17088
127	2504	17062
128	2522	17031
129	2540	16999
130	2558	16969
131	2576	16942
132	2594	16914
133	2612	16882
134	2633	16872
135	2651	16846
136	2669	16818
137	2688	16795
138	2707	16770
139	2725	16740
140	2743	16711
141	2761	16688
142	2779	16658
143	2798	16636
144	2816	16610
145	2836	16591
146	2855	16569
147	2873	16542
148	2892	16522
149	2910	16493
150	2928	16463
151	2946	16440
152	2964	16413
153	2984	16394
154	3002	16370
155	3021	16344
156	3041	16329
157	3059	16305
158	3076	16274
159	3096	16257
160	3113	16226
161	3131	16201
162	3149	16174
163	3167	16145
164	3184	16114
165	3201	16084
166	3218	16055
167	3237	16033
168	3256	16013
169	3274	15987
170	3292	15963
171	3309	15933
172	3329	15914
173	3347	15891
174	3365	15865
175	3383	15839
176	3402	15819
177	3420	15797
178	3438	15772
179	3458	15753
180	3476	15731
181	3495	15712
182	3514	15690
183	3531	15662
184	3549	15637
185	3567	15613
186	3585	15588
187	3603	15562
188	3620	15534
189	3637	15508
190	3655	15481
191	3672	15454
192	3690	15429
193	3709	15409
194	3726	15383
195	3744	15361
196	3762	15337
197	3780	15312
198	3798	15287
199	3815	15263
200	3832	15235
201	3850	15210
202	3867	15186
203	3887	15170
204	3906	15148
205	3923	15123
206	3941	15098
207	3959	15078
208	3978	15056
209	3997	15037
210	4015	15014
211	4033	14991
212	4051	14969
213	4069	14945
214	4088	14927
215	4107	14907
216	4125	14885
217	4143	14864
218	4160	14837
219	4178	14814
220	4195	14790
221	4214	14769
222	4232	14745
223	4251	14726
224	4268	14702
225	4289	14690
226	4308	14670
227	4326	14647
228	4343	14624
229	4362	14603
230	4380	14581
231	4398	14561
232	4417	14541
233	4435	14521
234	4453	14497
235	4471	14474
236	4490	14455
237	4509	14437
238	4527	14415
239	4544	14391
240	4562	14368
241	4580	14347
242	4598	14325
243	4616	14304
244	4634	14283
245	4652	14260
246	4669	14235
247	4686	14211
248	4706	14195
249	4724	14174
250	4742	14152
251	4760	14131
252	4779	14111
253	4797	14089
254	4815	14069
255	4833	14047
256	4853	14031
257	4871	14010
258	4889	13989
259	4907	13968
260	4927	13951
261	4945	13931
262	4964	13911
263	4983	13893
264	5002	13873
265	5020	13854
266	5038	13832
267	5056	13811
268	5075	13791
269	5092	13769
270	5111	13749
271	5129	13730
272	5146	13706
273	5164	13682
274	5181	13660
275	5200	13640
276	5218	13620
